DV0,DV1,DV2,DV3,AIN0,AIN1,AIN2,AIN3,time_stamp_ms
-132,-130,0,-1,301,278,276,275,1590186054637
-131,-129,0,-1,301,277,275,275,1590186057066
-130,-130,0,0,301,278,277,277,1590186059497
-130,-131,0,0,301,278,275,275,1590186061937
-131,-129,0,-1,301,277,275,275,1590186064366
-130,-131,0,0,301,278,277,277,1590186066796
-131,-131,0,0,301,278,278,277,1590186069227
-132,-130,0,-1,301,278,276,276,1590186071656
-132,-130,0,-1,301,278,275,274,1590186074086
-130,-130,0,-1,301,277,276,275,1590186076516
-130,-131,0,0,301,278,278,277,1590186078947
-132,-132,0,0,301,278,278,277,1590186081376
-132,-130,0,-1,301,278,276,275,1590186083806
-131,-129,0,-1,301,277,275,275,1590186086236
-130,-130,0,0,301,277,276,276,1590186088667
-130,-130,0,-1,301,277,276,275,1590186091107
-131,-129,0,-1,301,277,275,274,1590186093537
-130,-130,0,0,301,277,277,276,1590186095967
-130,-131,0,0,301,278,278,277,1590186098396
-131,-131,0,0,302,278,277,276,1590186100826
-131,-129,0,-1,302,277,275,275,1590186103256
-130,-128,0,-1,302,277,275,274,1590186105686
-129,-129,0,0,302,277,277,276,1590186108116
-129,-131,0,0,302,278,278,277,1590186110546
-131,-131,0,0,302,276,275,275,1590186112991
-131,-131,0,0,302,278,278,277,1590186115427
-131,-129,0,-1,303,277,275,275,1590186117856
-131,-128,0,-1,303,277,275,274,1590186120286
-129,-128,0,-1,303,278,277,274,1590186122660
-131,-129,0,-1,303,277,275,274,1590186125086
-129,-128,0,-1,303,277,275,274,1590186127516
-129,-129,0,0,302,277,277,276,1590186129946
-130,-130,0,0,302,277,278,277,1590186132376
-131,-131,0,0,302,278,278,277,1590186134807
-131,-130,0,0,302,278,276,276,1590186137236
-131,-129,0,-1,302,277,275,275,1590186139666
-130,-131,0,0,302,278,278,277,1590186142107
-131,-131,0,0,302,278,277,277,1590186144536
-132,-130,0,-1,301,277,275,275,1590186146967
-131,-129,0,-1,301,277,275,274,1590186149396
-130,-130,0,-1,301,277,275,275,1590186151827
-130,-131,0,-1,301,278,277,277,1590186154259
-130,-131,0,0,301,278,278,277,1590186156687
-131,-131,0,0,301,278,277,276,1590186159116
-132,-131,0,0,301,278,277,276,1590186161556
-130,-131,0,0,301,278,278,277,1590186163986
-132,-131,0,0,301,278,277,276,1590186166416
-132,-130,0,-1,301,277,275,275,1590186168847
-131,-129,0,-1,301,277,275,274,1590186171276
-130,-131,0,0,301,277,277,276,1590186173706
-130,-131,0,0,301,278,278,277,1590186176136
-132,-131,0,0,301,278,277,276,1590186178566
-130,-130,0,-1,300,278,275,276,1590186180990
-132,-130,0,0,300,278,276,276,1590186183416
-132,-130,0,-1,300,278,275,275,1590186185847
-130,-131,0,0,300,277,276,276,1590186188276
-131,-131,0,0,300,278,278,277,1590186190706
-132,-131,0,0,300,278,278,277,1590186193156
-132,-130,0,-1,300,278,276,275,1590186195586
-132,-129,0,-1,300,277,275,274,1590186198017
-130,-131,0,0,300,278,277,276,1590186200446
-131,-131,0,0,300,278,278,277,1590186202876
-132,-130,0,-1,300,278,276,275,1590186205307
-132,-130,0,-1,300,277,275,274,1590186207736
-130,-131,0,0,300,278,277,276,1590186210166
-131,-131,0,0,300,278,278,277,1590186212597
-132,-130,0,0,300,278,277,275,1590186215027
-132,-130,0,-1,301,277,275,274,1590186217457
-130,-130,0,-1,301,277,276,275,1590186219887
-130,-131,0,0,301,278,278,277,1590186222316
-131,-131,0,0,301,278,277,277,1590186224746
-132,-130,0,-1,301,277,275,274,1590186227177
-131,-129,0,-1,301,277,275,275,1590186229606
-130,-131,0,0,301,278,277,276,1590186232046
-132,-130,0,-1,301,277,275,274,1590186234476
-130,-129,0,-1,301,277,275,275,1590186236906
-130,-130,0,0,301,277,277,276,1590186239336
-130,-131,0,0,301,278,278,277,1590186241766
-131,-131,0,-1,301,277,277,276,1590186244270
-131,-131,0,0,301,278,275,276,1590186246670
-131,-130,0,0,301,278,277,276,1590186249096
-132,-129,0,-1,301,277,275,274,1590186251526
-130,-129,0,-1,301,277,275,275,1590186253957
-130,-131,0,0,301,277,277,277,1590186256386
-131,-131,0,0,301,278,278,277,1590186258816
-131,-130,0,-1,301,277,276,275,1590186261247
-131,-129,0,-1,301,277,275,274,1590186263677
-130,-130,0,0,301,277,276,275,1590186266106
-130,-131,0,0,301,278,278,277,1590186268536
-132,-130,0,0,301,277,276,276,1590186270966
-132,-130,0,-1,301,277,275,274,1590186273396
-130,-130,0,-1,301,277,276,275,1590186275826
-130,-131,0,0,301,278,277,277,1590186278256
-131,-131,0,0,301,278,277,276,1590186280686
-132,-129,0,-1,301,277,275,274,1590186283127
-131,-131,0,0,301,278,277,277,1590186285556
-132,-130,0,-1,301,277,275,274,1590186287987
-131,-129,0,-1,301,277,275,274,1590186290417
-130,-130,0,0,301,277,275,277,1590186292830
-132,-130,0,0,301,277,276,276,1590186295257
-131,-130,0,-1,301,277,275,274,1590186297686
-130,-130,0,-1,301,277,276,275,1590186300116
-130,-129,0,-1,301,277,275,274,1590186302557
-131,-129,0,-1,301,277,275,274,1590186304987
